System,rank,doc_id,title,Relevance,Query_ID
Baseline,1,20510400,Blood and Memory,0,1
Baseline,2,30777995,Memory,0,1
Baseline,3,36043883,Family,3,1
Baseline,4,4923105,False Memory,1,1
Baseline,5,12782889,Shakespeare’s Memory,2,1
Baseline,6,14710236,Trace Memory,0,1
Baseline,7,18651008,Memory Prime,0,1
Baseline,8,241961,My Family and Other Animals,2,1
Baseline,9,314793,Family Matters,3,1
Baseline,10,1624037,Family Values,0,1
No clicks,1,241961,My Family and Other Animals,2,1
No clicks,2,20510400,Blood and Memory,0,1
No clicks,3,36043883,Family,3,1
No clicks,4,12782889,Shakespeare’s Memory,2,1
No clicks,5,14074160,The Memory Game,3,1
No clicks,6,30777995,Memory,0,1
No clicks,7,2961685,"Breath, Eyes, Memory",3,1
No clicks,8,25563271,The Memory Cathedral,1,1
No clicks,9,314793,Family Matters,3,1
No clicks,10,1679379,The Family,2,1
After clicks,1,36043883,Family,3,1
After clicks,2,314793,Family Matters,3,1
After clicks,3,20510400,Blood and Memory,0,1
After clicks,4,30777995,Memory,0,1
After clicks,5,12782889,Shakespeare’s Memory,2,1
After clicks,6,241961,My Family and Other Animals,2,1
After clicks,7,4923105,False Memory,1,1
After clicks,8,3241257,His Family,3,1
After clicks,9,14074160,The Memory Game,3,1
After clicks,10,3139231,Family Voices,2,1
Baseline,1,4168704,Everyday Use,1,2
Baseline,2,25787488,Lucky Everyday,0,2
Baseline,3,7213629,Magic,0,2
Baseline,4,871416,"Magic, Inc.",3,2
Baseline,5,5160255,Wild Magic,1,2
Baseline,6,5624476,Industrial Magic,2,2
Baseline,7,6347846,Magic Moon,0,2
Baseline,8,6800115,Street Magic,2,2
Baseline,9,7029693,Magic Steps,2,2
Baseline,10,10721367,Dark Magic,0,2
No clicks,1,25787488,Lucky Everyday,0,2
No clicks,2,4168704,Everyday Use,1,2
No clicks,3,7213629,Magic,0,2
No clicks,4,13817412,Magic Mirror,1,2
No clicks,5,31180983,Magic Seeds,1,2
No clicks,6,30669061,Life in the Fat Lane,0,2
No clicks,7,25640132,Fog Magic,2,2
No clicks,8,5160255,Wild Magic,1,2
No clicks,9,871416,"Magic, Inc.",3,2
No clicks,10,24803643,Od Magic,2,2
After clicks,1,25787488,Lucky Everyday,0,2
After clicks,2,4168704,Everyday Use,1,2
After clicks,3,13817412,Magic Mirror,1,2
After clicks,4,7213629,Magic,0,2
After clicks,5,5160255,Wild Magic,1,2
After clicks,6,7029693,Magic Steps,2,2
After clicks,7,25640132,Fog Magic,2,2
After clicks,8,18713342,Practical Magic,3,2
After clicks,9,24803643,Od Magic,2,2
After clicks,10,31180983,Magic Seeds,1,2